Unnamed: 0.1,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
47,attending a virtual reality meetup., Positive  ,2023-01-30 18:30:00,vrmeetup,twitter, #VRMeetup #VirtualReality               ,28.0,55.0,india,2023,1,30,18
48,reflecting on the beauty of nature., Positive  ,2023-01-31 10:45:00,naturelover,facebook, #Nature #Reflection                     ,15.0,30.0,australia,2023,1,31,10
49,cooking a special dinner for loved ones., Positive  ,2023-01-31 19:00:00,chefathome,instagram, #Cooking #SpecialDinner                ,20.0,40.0,usa,2023,1,31,19
50,feeling optimistic about the week ahead., Positive  ,2023-01-31 16:20:00,optimisticmindset,twitter, #Optimism #NewWeek                     ,15.0,30.0,canada,2023,1,31,16
51,starting a new fitness challenge tomorrow! 💪, Positive  ,2023-02-01 08:00:00,fitnesschallenge,facebook, #FitnessChallenge #NewBeginnings       ,22.0,45.0,uk,2023,2,1,8
52,sunday bike ride through scenic trails., Positive  ,2023-02-01 13:30:00,bikeexplorer,instagram, #BikeRide #ScenicTrails                ,18.0,35.0,usa,2023,2,1,13
53,can't believe the injustice happening in our society., Anger        ,2023-02-11 09:30:00,socialjustice,twitter, #Injustice #Angry                            ,20.0,40.0,canada,2023,2,11,9
54,feeling a sense of fear after watching a thriller movie., Fear         ,2023-02-11 21:15:00,thrillerfan,instagram, #Fear #ThrillerMovie                         ,15.0,30.0,usa,2023,2,11,21
55,heartbroken after hearing the news about a natural disaster., Sadness      ,2023-02-12 14:45:00,empathyfirst,facebook, #Sadness #NaturalDisaster                    ,25.0,50.0,india,2023,2,12,14
56,the state of the world's environment is just disgusting., Disgust      ,2023-02-12 18:20:00,ecoawareness,twitter, #Disgust #Environment                        ,18.0,35.0,uk,2023,2,12,18
57,pure happiness: celebrating a loved one's achievement!, Happiness    ,2023-02-13 10:00:00,proudfriend,instagram, #Happiness #Celebration                   ,30.0,60.0,usa,2023,2,13,10
58,laughter is the best medicine—enjoying a comedy show., Joy          ,2023-02-13 19:30:00,comedyfan,facebook, #Joy #ComedyShow                             ,22.0,45.0,canada,2023,2,13,19
59,sharing love and positive vibes with everyone! ❤️, Love         ,2023-02-14 08:30:00,lovespreader,twitter, #Love #SpreadLove                            ,15.0,30.0,australia,2023,2,14,8
60,an amusing incident brightened up my day!, Amusement    ,2023-02-14 14:20:00,amusedsoul,instagram, #Amusement #FunTimes                         ,18.0,35.0,uk,2023,2,14,14
61,enjoying a quiet evening with a book and some tea., Enjoyment    ,2023-02-14 19:45:00,bookloveragain,facebook, #Enjoyment #BookTime                         ,25.0,50.0,canada,2023,2,14,19
62,admiring the beauty of nature during a peaceful hike., Admiration   ,2023-02-15 11:30:00,natureadmirer,twitter, #Admiration #Nature                         ,20.0,40.0,usa,2023,2,15,11
63,sending affectionate vibes to all my followers!, Affection    ,2023-02-15 16:00:00,affectionsender,instagram, #Affection #PositiveVibes                   ,15.0,30.0,usa,2023,2,15,16
64,experiencing awe at the breathtaking sunset., Awe          ,2023-02-15 20:30:00,awestruck,facebook, #Awe #Breathtaking                          ,22.0,45.0,australia,2023,2,15,20
65,disappointed with the service at a local restaurant., Disappointed ,2023-02-16 09:00:00,foodiegonewrong,twitter, #Disappointed #BadService                   ,18.0,35.0,india,2023,2,16,9
66,a surprise gift from a friend made my day!, Surprise     ,2023-02-16 14:45:00,happysurprise,instagram, #Surprise #Gift                              ,25.0,50.0,usa,2023,2,16,14
67,finding acceptance in the midst of life's challenges., Acceptance   ,2023-02-16 18:20:00,acceptanceseeker,facebook, #Acceptance #Challenges                     ,15.0,30.0,canada,2023,2,16,18
68,overflowing with adoration for my adorable pet! 🐾, Adoration    ,2023-02-17 10:45:00,petadorer,twitter, #Adoration #PetLove                         ,22.0,45.0,uk,2023,2,17,10
69,anticipating a thrilling adventure in the coming weeks., Anticipation ,2023-02-17 07:30:00,adventureawaits,instagram, #Anticipation #Adventure                    ,20.0,40.0,usa,2023,2,17,7
70,a bitter experience turned into a valuable lesson., Bitter       ,2023-02-17 15:00:00,learnfrombitter,facebook, #BitterLesson #Growth                      ,18.0,35.0,usa,2023,2,17,15
71,finding calmness in the midst of a busy day., Calmness     ,2023-02-18 09:30:00,zenmaster,twitter, #Calmness #PeacefulMind                    ,15.0,30.0,india,2023,2,18,9
72,confusion clouds my mind as i navigate through decisions., Confusion    ,2023-02-18 14:20:00,confusedmind,instagram, #Confusion #DecisionMaking                 ,25.0,50.0,uk,2023,2,18,14
73,excitement building up for the upcoming vacation!, Excitement   ,2023-02-18 18:45:00,vacationdreamer,facebook, #Excitement #TravelPlans                   ,22.0,45.0,canada,2023,2,18,18
74,kindness witnessed today restored my faith in humanity., Kind         ,2023-02-19 11:30:00,kindnessprevails,twitter, #Kindness #Humanity                        ,20.0,40.0,usa,2023,2,19,11
75,pride in achieving a personal milestone., Pride        ,2023-02-19 16:00:00,personalachiever,instagram, #Pride #Milestone                           ,30.0,60.0,australia,2023,2,19,16
76,a moment of shame for not standing up against injustice., Shame        ,2023-02-19 19:45:00,reflectiveself,facebook, #Shame #Injustice                           ,15.0,30.0,india,2023,2,19,19
77,fuming with anger after a heated argument., Anger        ,2023-02-20 09:30:00,angrydebater,twitter, #Anger #Argument                             ,20.0,40.0,canada,2023,2,20,9
78,the fear of the unknown is keeping me up at night., Fear         ,2023-02-20 21:15:00,fearfuldreamer,instagram, #Fear #Unknown                               ,15.0,30.0,usa,2023,2,20,21
79,heartfelt sadness after bidding farewell to a dear friend., Sadness      ,2023-02-21 14:45:00,farewellheart,facebook, #Sadness #Farewell                          ,25.0,50.0,india,2023,2,21,14
80,the state of corruption in our society is utterly disgusting., Disgust      ,2023-02-21 18:20:00,anticorruption,twitter, #Disgust #Corruption                         ,18.0,35.0,uk,2023,2,21,18
81,overflowing happiness: welcoming a new family member!, Happiness    ,2023-02-22 10:00:00,newparentjoy,instagram, #Happiness #NewFamilyMember                 ,30.0,60.0,uk,2023,2,22,10
82,laughter is the key to joy—attending a stand-up comedy show., Joy          ,2023-02-22 19:30:00,standupfan,facebook, #Joy #StandUpComedy                         ,22.0,45.0,canada,2023,2,22,19
83,sending love to all my followers on this beautiful day! ❤️, Love         ,2023-02-23 08:30:00,lovesender,twitter, #Love #SpreadLove                            ,15.0,30.0,australia,2023,2,23,8
84,amused by the antics of my pet—it's pure amusement!, Amusement    ,2023-02-23 14:20:00,petamuser,instagram, #Amusement #PetAntics                       ,18.0,35.0,uk,2023,2,23,14
85,enjoying every moment of this trip—pure enjoyment!, Enjoyment    ,2023-02-23 19:45:00,travelexplorer,facebook, #Enjoyment #Travel                           ,25.0,50.0,usa,2023,2,23,19
86,admiring the dedication of volunteers at a local charity., Admiration   ,2023-02-24 11:30:00,charityadmirer,twitter, #Admiration #Volunteers                     ,20.0,40.0,usa,2023,2,24,11
87,sending affectionate vibes to friends and family., Affection    ,2023-02-24 16:00:00,familylover,instagram, #Affection #FamilyLove                      ,15.0,30.0,usa,2023,2,24,16
88,awe-struck by the beauty of the night sky., Awe          ,2023-02-24 20:30:00,stargazer,facebook, #Awe #StarryNight                        ,22.0,45.0,australia,2023,2,24,20
89,disappointed with the lack of progress in a personal project., Disappointed ,2023-02-25 09:00:00,projectstruggle,twitter, #Disappointed #Project                     ,18.0,35.0,india,2023,2,25,9
90,a surprise visit from an old friend brought tears of joy., Surprise     ,2023-02-25 14:45:00,joyfulreunion,instagram, #Surprise #OldFriends                       ,25.0,50.0,usa,2023,2,25,14
91,embracing acceptance of life's ups and downs., Acceptance   ,2023-02-25 18:20:00,lifeacceptance,facebook, #Acceptance #LifeJourney                   ,15.0,30.0,canada,2023,2,25,18
92,overflowing adoration for a cute rescue puppy! 🐶, Adoration    ,2023-02-26 10:45:00,puppyadmirer,twitter, #Adoration #PuppyLove                       ,22.0,45.0,uk,2023,2,26,10
93,anticipating the release of a much-awaited movie., Anticipation ,2023-02-26 07:30:00,moviebuff2,instagram, #Anticipation #MovieRelease                 ,20.0,40.0,australia,2023,2,26,7
94,bitter experience at the customer service department., Bitter       ,2023-02-26 15:00:00,customerwoes,facebook, #BitterExperience #CustomerService         ,18.0,35.0,usa,2023,2,26,15
95,finding calmness amidst the chaos of daily life., Calmness     ,2023-02-27 09:30:00,calmsoul,twitter, #Calmness #InnerPeace                      ,15.0,30.0,india,2023,2,27,9
96,confusion reigns as i try to make sense of recent events., Confusion    ,2023-02-27 14:20:00,confusedmind2,instagram, #Confusion #MakingSense                    ,25.0,50.0,uk,2023,2,27,14
97,excitement building up for a surprise birthday party., Excitement   ,2023-02-27 18:45:00,birthdayexcite,facebook, #Excitement #SurpriseParty                 ,22.0,45.0,canada,2023,2,27,18
98,witnessed an act of kindness that made my day., Kind         ,2023-02-28 11:30:00,kindnessobserver,twitter, #Kindness #ActsOfKindness                  ,20.0,40.0,usa,2023,2,28,11
99,pride in completing a challenging fitness challenge., Pride        ,2023-02-28 16:00:00,fitachiever,instagram, #Pride #FitnessChallengeCompleted          ,30.0,60.0,uk,2023,2,28,16
100,a moment of shame for not speaking up against injustice., Shame        ,2023-02-28 19:45:00,reflectiveself2,facebook, #Shame #Injustice                           ,15.0,30.0,india,2023,2,28,19
101,reflecting on the beauty of diversity in our world., Acceptance   ,2023-03-01 10:45:00,diversitylover,twitter, #Acceptance #Diversity                      ,22.0,45.0,australia,2023,3,1,10
102,excitement for a quiet evening with a good book., Excitement   ,2023-03-01 13:30:00,bookwormjoy,instagram, #Excitement #BookTime                       ,18.0,35.0,usa,2023,3,1,13
103,feeling bitter about the unfairness in the workplace., Bitter       ,2023-03-01 17:45:00,workplacewoes,twitter, #Bitter #Unfairness                         ,15.0,30.0,canada,2023,3,1,17
104,calmness prevails as i practice mindfulness., Calmness     ,2023-03-02 18:00:00,mindfulme,facebook, #Calmness #Mindfulness                      ,15.0,30.0,uk,2023,3,2,18
105,confusion surrounds me as i navigate through life's choices., Confusion ,2023-03-02 13:15:00,confusedmind3,instagram, #Confusion #LifeChoices                     ,30.0,60.0,usa,2023,3,2,13
106,excitement for a weekend road trip to explore new places., Excitement ,2023-03-02 16:45:00,roadtripper2,twitter, #Excitement #WeekendAdventure               ,25.0,50.0,india,2023,3,2,16
107,kindness witnessed today restores my faith in humanity., Kind         ,2023-03-03 11:30:00,kindnessprevails2,facebook, #Kindness #HumanityRestored                 ,22.0,45.0,usa,2023,3,3,11
108,pride in accomplishing personal and professional goals., Pride        ,2023-03-03 14:30:00,goalachiever,instagram, #Pride #Accomplishments                     ,12.0,25.0,canada,2023,3,3,14
109,shame for not being true to my values in a difficult situation., Shame ,2023-03-03 12:00:00,reflectiveself3,twitter, #Shame #Integrity                           ,15.0,30.0,uk,2023,3,3,12
110,"revisiting old memories, feeling a sense of elation.", Elation       ,2010-05-15 15:30:00,nostalgiafan,twitter, #Elation #Memories                             ,20.0,40.0,canada,2010,5,15,15
111,the victory of our team brought euphoria to the city., Euphoria      ,2021-08-10 21:15:00,sportsfanatic,instagram, #Euphoria #Victory                             ,15.0,30.0,usa,2021,8,10,21
112,"embracing the beauty of nature, a moment of contentment.", Contentment   ,2011-06-20 14:45:00,naturelover2,facebook, #Contentment #Nature                           ,25.0,50.0,india,2011,6,20,14
113,"meditating by the serene lake, finding inner peace.", Serenity      ,2022-02-12 18:20:00,zenmaster2,twitter, #Serenity #Meditation                          ,18.0,35.0,uk,2022,2,12,18
114,overflowing with gratitude for life's blessings., Gratitude     ,2012-11-25 10:00:00,thankfulheart,instagram, #Gratitude #Blessed                            ,30.0,60.0,australia,2012,11,25,10
115,"hopeful for a brighter tomorrow, despite challenges.", Hope          ,2013-04-05 19:30:00,optimisticsoul,facebook, #Hope #Optimism                                ,22.0,45.0,usa,2013,4,5,19
116,empowered to make a difference in my community., Empowerment   ,2014-09-14 08:30:00,communityleader,twitter, #Empowerment #Community                        ,15.0,30.0,uk,2014,9,14,8
117,compassion in action: supporting a local charity event., Compassion    ,2015-07-18 14:20:00,charitysupporter,instagram, #Compassion #CharityEvent                   ,18.0,35.0,canada,2015,7,18,14
118,"a moment of tenderness, connecting with loved ones.", Tenderness    ,2016-02-23 19:45:00,lovingheart,facebook, #Tenderness #FamilyTime                       ,25.0,50.0,uk,2016,2,23,19
119,arousal of excitement as i await a special announcement., Arousal       ,2017-10-30 11:30:00,excitementfan,twitter, #Arousal #Excitement                           ,20.0,40.0,australia,2017,10,30,11
120,enthusiastically diving into a new project., Enthusiasm    ,2018-06-15 16:00:00,projectenthusiast,instagram, #Enthusiasm #NewProject                       ,15.0,30.0,usa,2018,6,15,16
121,feeling a sense of fulfillment after reaching a milestone., Fulfillment  ,2019-03-28 18:20:00,milestoneachiever,facebook, #Fulfillment #Milestone                       ,22.0,45.0,india,2019,3,28,18
122,reverence for the beauty of a historic landmark., Reverence     ,2019-11-11 15:00:00,historylover,twitter, #Reverence #History                           ,18.0,35.0,uk,2019,11,11,15
123,elation after a surprise reunion with old friends., Elation       ,2020-04-02 09:30:00,joyfulreunion2,instagram, #Elation #OldFriends                          ,25.0,50.0,canada,2020,4,2,9
124,the euphoria of a live music concert under the stars., Euphoria      ,2021-06-19 14:45:00,musicenthusiast,facebook, #Euphoria #LiveMusic                          ,15.0,30.0,usa,2021,6,19,14
125,contentment in the simplicity of a quiet sunday., Contentment   ,2010-08-15 10:00:00,simplejoys,twitter, #Contentment #SundayMood                      ,30.0,60.0,australia,2010,8,15,10
126,serenity found in the pages of a favorite book., Serenity      ,2011-09-22 19:30:00,booklover3,instagram, #Serenity #BookTime                           ,22.0,45.0,uk,2011,9,22,19
127,gratitude for the support received during tough times., Gratitude     ,2012-03-10 08:30:00,supportivefriend,facebook, #Gratitude #Supportive                        ,15.0,30.0,india,2012,3,10,8
128,hopeful about the possibilities of a new journey., Hope          ,2013-12-05 16:00:00,journeyoptimist,twitter, #Hope #NewBeginnings                          ,18.0,35.0,canada,2013,12,5,16
129,empowerment through learning and personal growth., Empowerment   ,2014-07-20 11:30:00,growthseeker,instagram, #Empowerment #PersonalGrowth                  ,25.0,50.0,usa,2014,7,20,11
130,compassion towards those in need during the holidays., Compassion    ,2015-12-22 14:20:00,holidayhelper,facebook, #Compassion #HolidaySupport                   ,18.0,35.0,usa,2015,12,22,14
131,tenderness in the warmth of a cozy winter evening., Tenderness    ,2016-02-10 19:45:00,winterwarmth,twitter, #Tenderness #CozyEvening                     ,25.0,50.0,uk,2016,2,10,19
132,arousal of excitement for an upcoming adventure., Arousal       ,2017-04-30 11:30:00,adventureawaits,instagram, #Arousal #AdventureTime                       ,20.0,40.0,australia,2017,4,30,11
133,enthusiasm for a creative project in the making., Enthusiasm    ,2018-09-15 16:00:00,creativespirit,facebook, #Enthusiasm #Creativity                       ,15.0,30.0,canada,2018,9,15,16
134,fulfillment in completing a challenging workout routine., Fulfillment  ,2019-06-28 18:20:00,fitnessachiever,twitter, #Fulfillment #FitnessGoals                   ,22.0,45.0,india,2019,6,28,18
135,reverence for the artistry displayed in a museum., Reverence     ,2020-11-11 15:00:00,artappreciator,instagram, #Reverence #ArtAppreciation                  ,18.0,35.0,uk,2020,11,11,15
136,elation after achieving a personal goal., Elation       ,2021-03-02 09:30:00,goalachiever2,facebook, #Elation #PersonalAchievement                ,25.0,50.0,usa,2021,3,2,9
137,elation over discovering a hidden gem in the city., Elation       ,2012-02-18 14:30:00,urbanexplorer2,twitter, #Elation #HiddenGem                            ,20.0,40.0,usa,2012,2,18,14
138,the euphoria of a surprise birthday celebration., Euphoria      ,2018-11-05 21:45:00,birthdayjoy,instagram, #Euphoria #BirthdaySurprise                   ,15.0,30.0,uk,2018,11,5,21
139,contentment in the simplicity of a home-cooked meal., Contentment   ,2015-09-12 13:20:00,homechef,facebook, #Contentment #HomeCooking                     ,25.0,50.0,india,2015,9,12,13
140,serenity found in the melody of a peaceful piano., Serenity      ,2016-07-30 18:10:00,musiclover4,twitter, #Serenity #PeacefulMelody                    ,18.0,35.0,canada,2016,7,30,18
141,gratitude for the supportive community around me., Gratitude     ,2013-04-20 10:30:00,communitylove,instagram, #Gratitude #CommunitySupport                   ,30.0,60.0,usa,2013,4,20,10
142,hopeful about the prospects of a new business venture., Hope          ,2017-12-08 19:15:00,entrepreneurhope,facebook, #Hope #BusinessVenture                        ,22.0,45.0,canada,2017,12,8,19
143,empowerment through mentoring and guiding others., Empowerment   ,2014-06-03 08:20:00,mentorempower,twitter, #Empowerment #Mentorship                      ,15.0,30.0,uk,2014,6,3,8
144,compassion shown through acts of kindness in the community., Compassion,2019-01-15 14:50:00,kindnessinaction,instagram, #Compassion #CommunityKindness               ,18.0,35.0,australia,2019,1,15,14
145,tenderness in a heartfelt message to a loved one., Tenderness    ,2016-12-25 19:30:00,loveexpress,facebook, #Tenderness #LoveNote                         ,25.0,50.0,uk,2016,12,25,19
146,arousal of excitement before a much-awaited trip., Arousal       ,2018-03-10 09:45:00,travelexcitement,twitter, #Arousal #TravelAdventure                     ,20.0,40.0,india,2018,3,10,9
147,enthusiasm for a new artistic project in the works., Enthusiasm    ,2020-09-17 16:30:00,artisticspirit,instagram, #Enthusiasm #ArtisticProject                 ,15.0,30.0,usa,2020,9,17,16
148,feeling a sense of fulfillment after helping others., Fulfillment   ,2011-08-28 18:45:00,helperheart,facebook, #Fulfillment #HelpingOthers                  ,22.0,45.0,canada,2011,8,28,18
149,reverence for the historical significance of a landmark., Reverence ,2017-11-01 15:30:00,historybuff,twitter, #Reverence #HistoricalSite                   ,18.0,35.0,australia,2017,11,1,15
150,elation after achieving a fitness milestone., Elation       ,2019-06-15 10:00:00,fitnessachiever2,instagram, #Elation #FitnessMilestone                   ,25.0,50.0,uk,2019,6,15,10
151,the euphoria of a successful product launch., Euphoria      ,2022-04-03 11:45:00,productlaunchjoy,facebook, #Euphoria #ProductLaunchSuccess              ,15.0,30.0,usa,2022,4,3,11
152,contentment in the embrace of a loved one., Contentment   ,2010-11-12 20:20:00,lovingembrace,twitter, #Contentment #Love                             ,30.0,60.0,india,2010,11,12,20
153,serenity found in the beauty of a sunset by the sea., Serenity      ,2011-07-22 18:30:00,sunsetwatcher2,instagram, #Serenity #SunsetViews                       ,22.0,45.0,canada,2011,7,22,18
154,gratitude for the small joys that each day brings., Gratitude     ,2012-03-30 11:20:00,joyfulheart2,facebook, #Gratitude #SmallJoys                        ,15.0,30.0,australia,2012,3,30,11
155,hopeful about the potential for personal growth., Hope          ,2013-10-05 16:40:00,growthoptimist,twitter, #Hope #PersonalDevelopment                    ,18.0,35.0,uk,2013,10,5,16
156,empowerment through learning a new skill., Empowerment   ,2014-07-10 13:15:00,skillempower,instagram, #Empowerment #SkillBuilding                   ,25.0,50.0,india,2014,7,10,13
157,compassion in volunteering for a local charity., Compassion    ,2015-12-18 14:20:00,charityvolunteer,facebook, #Compassion #VolunteerWork                   ,18.0,35.0,usa,2015,12,18,14
158,tenderness in a quiet moment shared with a pet., Tenderness    ,2016-02-10 19:45:00,petlove,twitter, #Tenderness #PetLove                          ,25.0,50.0,canada,2016,2,10,19
159,arousal of excitement for an upcoming festival., Arousal       ,2017-09-25 11:30:00,festivalfan,instagram, #Arousal #FestivalExcitement               ,20.0,40.0,uk,2017,9,25,11
160,enthusiasm for a diy home improvement project., Enthusiasm    ,2018-04-15 16:00:00,diyenthusiast,facebook, #Enthusiasm #HomeImprovement                 ,15.0,30.0,australia,2018,4,15,16
161,fulfillment in completing a challenging puzzle., Fulfillment   ,2019-11-28 18:20:00,puzzlemaster,twitter, #Fulfillment #PuzzleChallenge                ,22.0,45.0,india,2019,11,28,18
162,reverence for the wonders of nature on a hiking trail., Reverence ,2020-05-11 15:00:00,natureadmirer,instagram, #Reverence #NatureExploration                ,18.0,35.0,usa,2020,5,11,15
163,elation after a surprise reunion with a childhood friend., Elation   ,2021-02-05 09:30:00,childhoodjoy,facebook, #Elation #FriendshipReunion                  ,25.0,50.0,canada,2021,2,5,9
164,suffering from despair after another setback., Despair         ,2021-03-10 08:30:00,strugglingsoul,twitter, #Despair #Struggle                              ,5.0,10.0,usa,2021,3,10,8
165,"overwhelmed by grief, missing a loved one dearly.", Grief           ,2022-07-05 15:45:00,mourningheart,instagram, #Grief #Loss                                   ,8.0,15.0,canada,2022,7,5,15
166,loneliness creeps in as the night grows colder., Loneliness      ,2019-11-18 21:20:00,solitarysoul,facebook, #Loneliness #Isolation                         ,10.0,20.0,uk,2019,11,18,21
